Algorithm,Devices,FailureRate
DDQN_Mobility,1400,0.33780261484246304
DDQN_Mobility,1400,0.35986936534021174
DDQN_Mobility,1400,0.3277486685210341
DDQN_Mobility,1400,0.32480376439234626
DDQN_Mobility,1400,0.3156932790562433
DDQN_Mobility,1400,0.30233046399328156
DDQN_Mobility,1400,0.29672966033923986
DDQN_Mobility,1400,0.35747883349012227
DDQN_Mobility,1400,0.36756803232879065
DDQN_Mobility,1400,0.35653614647343806
DDQN_Mobility,1400,0.35006326444538166
DDQN_Mobility,1600,0.33154955793392277
DDQN_Mobility,1600,0.35324093734316486
DDQN_Mobility,1600,0.30473979212392754
DDQN_Mobility,1600,0.3079485590331577
DDQN_Mobility,1600,0.3923947453225409
DDQN_Mobility,1600,0.32242843661528786
DDQN_Mobility,1600,0.35044281497000285
DDQN_Mobility,1600,0.2916743585010153
DDQN_Mobility,1600,0.3269378070880117
DDQN_Mobility,1600,0.32191702541049183
DDQN_Mobility,1600,0.32925138632162665
DDQN_Mobility,1600,0.2982107355864811
DDQN_Mobility,1600,0.32268097348573205
DDQN_Mobility,1600,0.33027795301888896
DDQN_Mobility,1600,0.3464159988015879
DDQN_Mobility,1800,0.3893509110469783
DDQN_Mobility,1800,0.31980482015100065
DDQN_Mobility,1800,0.3465003465003465
DDQN_Mobility,1800,0.2907705419361307
DDQN_Mobility,1800,0.35363191824165413
DDQN_Mobility,1800,0.364836404039734
DDQN_Mobility,1800,0.2767652220872148
DDQN_Mobility,1800,0.2837731817650692
DDQN_Mobility,1800,0.30176026823134955
DDQN_Mobility,1800,0.354461703088164
DDQN_Mobility,1800,0.3333112231361104
DDQN_Mobility,1800,0.28594568684815125
DDQN_Mobility,1800,0.36136552872606165
DDQN_Mobility,1800,0.3032702643505804
DDQN_Mobility,1800,0.30089925892811087
DDQN_Mobility,2000,0.29534606205250596
DDQN_Mobility,2000,0.29530405662531395
DDQN_Mobility,2000,0.29297161105088915
DDQN_Mobility,2000,0.3084921020309063
DDQN_Mobility,2000,0.27795462662463705
DDQN_Mobility,2000,0.33897789803301615
DDQN_Mobility,2000,0.3203440407231876
DDQN_Mobility,2000,0.288847768199666
DDQN_Mobility,2000,0.26448190426971074
DDQN_Mobility,2000,0.30753382114560135
DDQN_Mobility,2000,0.3316798262349937
DDQN_Mobility,2000,0.30506041392511063
DDQN_Mobility,2000,0.33024107598546937
DDQN_Mobility,2000,0.34100077638569626
DDQN_Mobility,2000,0.2810304449648712
DDQN_Mobility,2200,0.29689393031646494
DDQN_Mobility,2200,0.30864197530864196
DDQN_Mobility,2200,0.3529772866789441
DDQN_Mobility,2200,0.31335037519584397
DDQN_Mobility,2200,0.29623419269195833
DDQN_Mobility,2200,0.24860335195530728
DDQN_Mobility,2200,0.3262420988241691
DDQN_Mobility,2200,0.30812559254921645
DDQN_Mobility,2200,0.3222594119111505
DDQN_Mobility,2200,0.31168974457990845
DDQN_Mobility,2200,0.3574869782575303
DDQN_Mobility,2200,0.3081898338815335
DDQN_Mobility,2200,0.3108537474382075
DDQN_Mobility,2200,0.3131941665861836
DDQN_Mobility,2200,0.33562062640125007
DDQN_Mobility,2400,1.5961155073935005
DDQN_Mobility,2400,0.47379481627714454
DDQN_Mobility,2400,0.9854913769504517
DDQN_Mobility,2400,1.2481635420721524
DDQN_Mobility,2400,0.3537488752757885
